iter	Passed	Remaining
687	2190	993
688	2193	989
689	2195	986
690	2198	983
691	2201	979
692	2203	976
693	2206	972
694	2208	969
695	2210	965
696	2212	961
697	2215	958
698	2217	955
699	2219	951
700	2222	948
701	2224	944
702	2226	940
703	2230	937
704	2233	934
705	2235	930
706	2239	928
707	2241	924
708	2243	920
709	2245	917
710	2250	914
711	2252	911
712	2255	907
713	2258	904
714	2260	901
715	2265	898
716	2267	894
717	2270	891
718	2272	888
719	2275	884
720	2277	881
721	2281	878
722	2283	874
723	2286	871
724	2288	868
725	2290	864
726	2294	861
727	2299	859
728	2302	855
729	2304	852
730	2306	848
731	2308	845
732	2312	842
733	2317	839
734	2319	836
735	2321	832
736	2324	829
737	2329	827
738	2332	823
739	2335	820
740	2337	817
741	2340	813
742	2343	810
743	2346	807
744	2348	803
745	2351	800
746	2354	797
747	2356	793
748	2359	790
749	2361	787
750	2363	783
751	2366	780
752	2368	777
753	2370	773
754	2373	770
755	2376	767
756	2378	763
757	2380	760
758	2383	756
759	2385	753
760	2387	749
761	2390	746
762	2394	743
763	2396	740
764	2399	737
765	2401	733
766	2403	730
767	2405	726
768	2410	724
769	2413	720
770	2415	717
771	2418	714
772	2421	711
773	2425	708
774	2427	704
775	2430	701
776	2433	698
777	2435	695
778	2437	691
779	2443	689
780	2445	685
781	2448	682
782	2450	679
783	2452	675
784	2458	673
785	2460	669
786	2463	666
787	2465	663
788	2467	659
789	2470	656
790	2474	653
791	2475	650
792	2479	647
793	2481	643
794	2483	640
795	2485	636
796	2490	634
797	2492	630
798	2495	627
799	2497	624
800	2499	621
801	2502	617
802	2505	614
803	2509	611
804	2512	608
805	2514	605
806	2516	601
807	2522	599
808	2524	596
809	2528	593
810	2530	589
811	2532	586
812	2534	583
813	2539	580
814	2541	576
815	2543	573
816	2546	570
817	2549	567
818	2555	564
819	2557	561
820	2560	558
821	2562	554
822	2565	551
823	2570	549
824	2573	545
825	2576	542
826	2579	539
827	2583	536
828	2586	533
829	2590	530
830	2592	527
831	2594	523
832	2600	521
833	2603	518
834	2606	515
835	2608	511
836	2612	508
837	2617	506
838	2621	502
839	2624	499
840	2626	496
